Výsledky

Výpočtový krok 1

-----------------------------------------------------------------------------
Job: ATENA, Openning output file: 3.11.2010 15:31:27
-----------------------------------------------------------------------------
Output data for request: STRESS
Description: Stress
  Step: 1  Iteration: 2 at Time: 1
-----------------------------------------------------------------------------------------------
Group Elem.    IP   sigma_xx   sigma_yy     tau_xy 
Units                    MPa        MPa        MPa 
    1    76     2  1.3455329 -0.0149386  0.0016467 
    1    76     3  1.3416532 -0.0278779  0.0015359 
    1    76     4  1.3434403 -0.0214902 -0.0000313 
    1    77     1  1.3581835 -0.0258070  0.0044015 
    1    77     2  1.3594990 -0.0198698  0.0062703 
    1    77     3  1.3605148 -0.0196568  0.0020731 
    1    77     4  1.3616550 -0.0142474  0.0040329 
    1    78     1  1.3237487 -0.0276176 -0.0002992 
    1    78     2  1.3322708 -0.0224872  0.0029619 
    1    78     3  1.3232518 -0.0224518  0.0025990 
    1    78     4  1.3299678 -0.0200818  0.0042235 
    1    79     1  1.3202963 -0.0231685  0.0016676 
    1    79     2  1.3140119 -0.0275547  0.0045974 
    1    79     3  1.3180666 -0.0194176  0.0014230 
    1    79     4  1.3132081 -0.0236825  0.0038995 
    1    80     1  1.3157951 -0.0224236 -0.0014176 
    1    80     2  1.3153549 -0.0247110  0.0017801 
    1    80     3  1.3070681 -0.0255943  0.0001781 
    1    80     4  1.3074696 -0.0271973  0.0026671 
    1    81     1  1.3669635 -0.0199674  0.0020427 
    1    81     2  1.3698718 -0.0232855  0.0011320 
    1    81     3  1.3746239 -0.0155934  0.0049666 
    1    81     4  1.3751228 -0.0192792  0.0035455 
    1    82     1  1.3632127 -0.0148177 -0.0005961 
    1    82     2  1.3639663 -0.0199836  0.0026423 
    1    82     3  1.3539645 -0.0201341  0.0027990 
    1    82     4  1.3565670 -0.0225626  0.0043074 
    1    83     1  1.3713761 -0.0196743 -0.0015497 
    1    83     2  1.3801440 -0.0168299 -0.0005339 
    1    83     3  1.3717804 -0.0183813  0.0017010 
    1    83     4  1.3798425 -0.0159142  0.0022261 
    1    84     1  1.3629199 -0.0146597  0.0089805 
    1    84     2  1.3536830 -0.0204351  0.0053277 
    1    84     3  1.3634036 -0.0202957  0.0059409 
    1    84     4  1.3561905 -0.0232862  0.0039151 
    1    85     1  1.3668185 -0.0198332  0.0058358 
    1    85     2  1.3744816 -0.0150645  0.0026551 
    1    85     3  1.3697784 -0.0236131  0.0065180 
    1    85     4  1.3751095 -0.0192040  0.0039342 
    1    86     1  1.3708078 -0.0201960  0.0093632 
    1    86     2  1.3712049 -0.0187638  0.0054921 
    1    86     3  1.3813675 -0.0167406  0.0080372 
    1    86     4  1.3803360 -0.0159242  0.0047810 
    1    87     1  1.3983460 -0.0158017  0.0073720 
    1    87     2  1.3881246 -0.0193474  0.0089929 
    1    87     3  1.3973659 -0.0136660  0.0038609 
    1    87     4  1.3869371 -0.0172182  0.0054178 
    1    88     1  1.3943379 -0.0136317  0.0018581 
    1    88     2  1.3954058 -0.0155142  0.0064798 
    1    88     3  1.3810786 -0.0179711  0.0034585 
    1    88     4  1.3835115 -0.0192076  0.0074913 
    1    89     1  1.4025333 -0.0162489  0.0022795 
    1    89     2  1.4138673 -0.0127823  0.0016167 
    1    89     3  1.4032654 -0.0166594  0.0062722 
