Výsledky

Výpočtový krok 2

-----------------------------------------------------------------------------
Job: ATENA, Openning output file: 14.2.2013 15:39:14
-----------------------------------------------------------------------------
Output data for request: REFERENCE_NODAL_COORDINATES
Description: Reference nodal coordinates
  Step: 2  Iteration: 2 at Time: 2
-----------------------------------------------------------------------------------------------
 Node       X(1)       X(2)
Units          m          m
  439  1.6875000  0.2509000
  440  1.6625000  0.2631000
  441  1.6625000  0.2753000
  442  1.6500000  0.2753000
  443  1.6500000  0.2630000
  444  1.6500000  0.2509000
  445  1.6625000  0.2509000
  446  1.6625000  0.2876000
  447  1.6500000  0.2876000
  448  1.6625000  0.3000000
  449  1.6500000  0.3000000
  450  1.6375000  0.2876000
  451  1.6375000  0.2753000
  452  1.6375000  0.3000000
  453  1.6250000  0.3000000
  454  1.6250000  0.2876000
  455  1.6250000  0.2753000
  456  1.6375000  0.2631000
  457  1.6250000  0.2630000
  458  1.6250000  0.2509000
  459  1.6375000  0.2509000
  460  1.6125000  0.2631000
  461  1.6125000  0.2753000
  462  1.6000000  0.2753000
  463  1.6000000  0.2630000
  464  1.6000000  0.2509000
  465  1.6125000  0.2509000
  466  1.6125000  0.2876000
  467  1.6000000  0.2876000
  468  1.6125000  0.3000000
  469  1.6000000  0.3000000
  470  1.5875000  0.2876000
  471  1.5875000  0.2753000
  472  1.5875000  0.3000000
  473  1.5750000  0.3000000
  474  1.5750000  0.2876000
  475  1.5750000  0.2753000
  476  1.5875000  0.2631000
  477  1.5750000  0.2630000
  478  1.5750000  0.2509000
  479  1.5875000  0.2509000
  480  1.5625000  0.2631000
  481  1.5625000  0.2753000
  482  1.5500000  0.2753000
  483  1.5500000  0.2630000
  484  1.5500000  0.2509000
  485  1.5625000  0.2509000
  486  1.5625000  0.2876000
  487  1.5500000  0.2876000
  488  1.5625000  0.3000000
  489  1.5500000  0.3000000
  490  1.5375000  0.2876000
  491  1.5375000  0.2753000
  492  1.5375000  0.3000000
  493  1.5250000  0.3000000
  494  1.5250000  0.2876000
  495  1.5250000  0.2753000
  496  1.5375000  0.2631000
  497  1.5250000  0.2630000
  498  1.5250000  0.2509000
  499  1.5375000  0.2509000
  500  1.5125000  0.2631000
  501  1.5125000  0.2753000
  502  1.5000000  0.2753000
  503  1.5000000  0.2630000
  504  1.5000000  0.2509000
  505  1.5125000  0.2509000
  506  1.5125000  0.2876000
  507  1.5000000  0.2876000
  508  1.5125000  0.3000000
  509  1.5000000  0.3000000
  510  1.4875000  0.2876000
  511  1.4875000  0.2753000
  512  1.4875000  0.3000000
  513  1.4750000  0.3000000
  514  1.4750000  0.2876000
  515  1.4750000  0.2753000
  516  1.4875000  0.2631000
  517  1.4750000  0.2630000
  518  1.4750000  0.2509000
  519  1.4875000  0.2509000
  520  1.4625000  0.2631000
  521  1.4625000  0.2753000
  522  1.4500000  0.2753000
  523  1.4500000  0.2630000
  524  1.4500000  0.2509000
  525  1.4625000  0.2509000
  526  1.4625000  0.2876000
  527  1.4500000  0.2876000
  528  1.4625000  0.3000000
  529  1.4500000  0.3000000
  530  1.4375000  0.2876000
  531  1.4375000  0.2753000
  532  1.4375000  0.3000000
  533  1.4250000  0.3000000
  534  1.4250000  0.2876000
  535  1.4250000  0.2753000
  536  1.4375000  0.2631000
  537  1.4250000  0.2630000
  538  1.4250000  0.2509000
  539  1.4375000  0.2509000
  540  1.4125000  0.2631000
  541  1.4125000  0.2753000
  542  1.4000000  0.2753000
  543  1.4000000  0.2630000
  544  1.4000000  0.2509000
  545  1.4125000  0.2509000
  546  1.4125000  0.2876000
  547  1.4000000  0.2876000
  548  1.4125000  0.3000000
  549  1.4000000  0.3000000
  550  1.3875000  0.2876000
  551  1.3875000  0.2753000
  552  1.3875000  0.3000000
  553  1.3750000  0.3000000
  554  1.3750000  0.2876000
  555  1.3750000  0.2753000
  556  1.3875000  0.2631000
  557  1.3750000  0.2630000
  558  1.3750000  0.2509000
  559  1.3875000  0.2509000
  560  1.3625000  0.2631000
  561  1.3625000  0.2753000
  562  1.3500000  0.2753000
  563  1.3500000  0.2630000
  564  1.3500000  0.2509000
  565  1.3625000  0.2509000
  566  1.3625000  0.2876000
  567  1.3500000  0.2876000
  568  1.3625000  0.3000000
  569  1.3500000  0.3000000
  570  1.3375000  0.2876000
  571  1.3375000  0.2753000
  572  1.3375000  0.3000000
  573  1.3250000  0.3000000
  574  1.3250000  0.2876000
  575  1.3250000  0.2753000
  576  1.3375000  0.2631000
  577  1.3250000  0.2630000
  578  1.3250000  0.2509000
  579  1.3375000  0.2509000
  580  1.3125000  0.2631000
  581  1.3125000  0.2753000
  582  1.3000000  0.2753000
  583  1.3000000  0.2630000
  584  1.3000000  0.2509000
  585  1.3125000  0.2509000
  586  1.3125000  0.2876000
  587  1.3000000  0.2876000
  588  1.3125000  0.3000000
  589  1.3000000  0.3000000
  590  1.2875000  0.2876000
  591  1.2875000  0.2753000
  592  1.2875000  0.3000000
  593  1.2750000  0.3000000
  594  1.2750000  0.2876000
  595  1.2750000  0.2753000
  596  1.2875000  0.2631000
  597  1.2750000  0.2630000
  598  1.2750000  0.2509000
  599  1.2875000  0.2509000
  600  1.2625000  0.2631000
  601  1.2625000  0.2753000
  602  1.2500000  0.2753000
  603  1.2500000  0.2630000
  604  1.2500000  0.2509000
  605  1.2625000  0.2509000
  606  1.2625000  0.2876000
  607  1.2500000  0.2876000
  608  1.2625000  0.3000000
  609  1.2500000  0.3000000
  610  1.2375000  0.2876000
  611  1.2375000  0.2753000
  612  1.2375000  0.3000000
  613  1.2250000  0.3000000
  614  1.2250000  0.2876000
  615  1.2250000  0.2753000
  616  1.2375000  0.2631000
  617  1.2250000  0.2630000
  618  1.2250000  0.2509000
  619  1.2375000  0.2509000
  620  1.2125000  0.2631000
  621  1.2125000  0.2753000
  622  1.2000000  0.2753000
  623  1.2000000  0.2630000
  624  1.2000000  0.2509000
  625  1.2125000  0.2509000
  626  1.2125000  0.2876000
  627  1.2000000  0.2876000
  628  1.2125000  0.3000000
  629  1.2000000  0.3000000
  630  1.1875000  0.2876000
  631  1.1875000  0.2753000
  632  1.1875000  0.3000000
  633  1.1750000  0.3000000
  634  1.1750000  0.2876000
  635  1.1750000  0.2753000
  636  1.1875000  0.2631000
  637  1.1750000  0.2630000
  638  1.1750000  0.2509000
  639  1.1875000  0.2509000
  640  1.1625000  0.2631000
  641  1.1625000  0.2753000
  642  1.1500000  0.2753000
  643  1.1500000  0.2630000
  644  1.1500000  0.2509000
  645  1.1625000  0.2509000
  646  1.1625000  0.2876000
  647  1.1500000  0.2876000
  648  1.1625000  0.3000000
  649  1.1500000  0.3000000
  650  1.1375000  0.2876000
  651  1.1375000  0.2753000
  652  1.1375000  0.3000000
  653  1.1250000  0.3000000
  654  1.1250000  0.2876000
  655  1.1250000  0.2753000
  656  1.1375000  0.2631000
  657  1.1250000  0.2630000
  658  1.1250000  0.2509000
  659  1.1375000  0.2509000
  660  1.1125000  0.2631000
  661  1.1125000  0.2753000
  662  1.1000000  0.2753000
  663  1.1000000  0.2630000
  664  1.1000000  0.2509000
  665  1.1125000  0.2509000
  666  1.1125000  0.2876000
  667  1.1000000  0.2876000
  668  1.1125000  0.3000000
  669  1.1000000  0.3000000
  670  1.0875000  0.2876000
  671  1.0875000  0.2753000
  672  1.0875000  0.3000000
  673  1.0750000  0.3000000
  674  1.0750000  0.2876000
  675  1.0750000  0.2753000
  676  1.0875000  0.2631000
  677  1.0750000  0.2630000
  678  1.0750000  0.2509000
  679  1.0875000  0.2509000
  680  1.0625000  0.2631000
  681  1.0625000  0.2753000
  682  1.0500000  0.2753000
  683  1.0500000  0.2630000
  684  1.0500000  0.2509000
  685  1.0625000  0.2509000
  686  1.0625000  0.2876000
  687  1.0500000  0.2876000
  688  1.0625000  0.3000000
  689  1.0500000  0.3000000
  690  1.0375000  0.2876000
  691  1.0375000  0.2753000
  692  1.0375000  0.3000000
  693  1.0250000  0.3000000
  694  1.0250000  0.2876000
  695  1.0250000  0.2753000
  696  1.0375000  0.2631000
  697  1.0250000  0.2630000
  698  1.0250000  0.2509000
  699  1.0375000  0.2509000
  700  1.0125000  0.2631000
  701  1.0125000  0.2753000
  702  1.0000000  0.2753000
  703  1.0000000  0.2630000
  704  1.0000000  0.2509000
  705  1.0125000  0.2509000
  706  1.0125000  0.2876000
  707  1.0000000  0.2876000
  708  1.0125000  0.3000000
  709  1.0000000  0.3000000
  710  0.9875000  0.2876000
  711  0.9875000  0.2753000
  712  0.9875000  0.3000000
  713  0.9750000  0.3000000
  714  0.9750000  0.2876000
  715  0.9750000  0.2753000
  716  0.9875000  0.2631000
  717  0.9750000  0.2630000
  718  0.9750000  0.2509000
  719  0.9875000  0.2509000
  720  0.9625000  0.2631000
  721  0.9625000  0.2753000
  722  0.9500000  0.2753000
  723  0.9500000  0.2630000
  724  0.9500000  0.2509000
  725  0.9625000  0.2509000
  726  0.9625000  0.2876000
  727  0.9500000  0.2876000
  728  0.9625000  0.3000000
  729  0.9500000  0.3000000
  730  0.9375000  0.2876000
  731  0.9375000  0.2753000
  732  0.9375000  0.3000000
  733  0.9250000  0.3000000
  734  0.9250000  0.2876000
  735  0.9250000  0.2753000
  736  0.9375000  0.2631000
  737  0.9250000  0.2630000
  738  0.9250000  0.2509000
  739  0.9375000  0.2509000
  740  0.9125000  0.2631000
  741  0.9125000  0.2753000
  742  0.9000000  0.2753000
  743  0.9000000  0.2630000
  744  0.9000000  0.2509000
  745  0.9125000  0.2509000
  746  0.9125000  0.2876000
  747  0.9000000  0.2876000
  748  0.9125000  0.3000000
  749  0.9000000  0.3000000
  750  0.8875000  0.2876000
  751  0.8875000  0.2753000
  752  0.8875000  0.3000000
  753  0.8750000  0.3000000
  754  0.8750000  0.2876000
  755  0.8750000  0.2753000
  756  0.8875000  0.2631000
  757  0.8750000  0.2630000
  758  0.8750000  0.2509000
  759  0.8875000  0.2509000
  760  0.8625000  0.2631000
  761  0.8625000  0.2753000
  762  0.8500000  0.2753000
  763  0.8500000  0.2630000
  764  0.8500000  0.2508000
  765  0.8625000  0.2509000
  766  0.8625000  0.2876000
  767  0.8500000  0.2876000
  768  0.8625000  0.3000000
  769  0.8500000  0.3000000
  770  0.8375000  0.2876000
  771  0.8375000  0.2753000
  772  0.8375000  0.3000000
  773  0.8250000  0.3000000
  774  0.8250000  0.2876000
  775  0.8250000  0.2753000
  776  0.8375000  0.2630000
  777  0.8250000  0.2630000
  778  0.8250000  0.2508000
  779  0.8375000  0.2508000
  780  0.8125000  0.2630000
  781  0.8125000  0.2753000
  782  0.8000000  0.2753000
  783  0.8000000  0.2630000
  784  0.8000000  0.2508000
  785  0.8125000  0.2508000
  786  0.8125000  0.2876000
  787  0.8000000  0.2876000
  788  0.8125000  0.3000000
  789  0.8000000  0.3000000
  790  0.7875000  0.2876000
  791  0.7875000  0.2753000
  792  0.7875000  0.3000000
  793  0.7750000  0.3000000
  794  0.7750000  0.2876000
  795  0.7750000  0.2752000
  796  0.7875000  0.2630000
  797  0.7750000  0.2630000
  798  0.7750000  0.2507000
  799  0.7875000  0.2508000
  800  0.7625000  0.2630000
  801  0.7625000  0.2507000
  802  0.7625000  0.2753000
  803  0.7500000  0.2752000
  804  0.7500000  0.2629000
  805  0.7500000  0.2507000
  806  0.7625000  0.2876000
  807  0.7625000  0.3000000
  808  0.7500000  0.3000000
  809  0.7500000  0.2876000
  810  0.7375000  0.2630000
  811  0.7375000  0.2753000
  812  0.7250000  0.2752000
  813  0.7250000  0.2630000
  814  0.7250000  0.2507000
  815  0.7375000  0.2507000
  816  0.7375000  0.2876000
  817  0.7250000  0.2876000
  818  0.7375000  0.3000000
  819  0.7250000  0.3000000
  820  0.7125000  0.2876000
  821  0.7125000  0.3000000
  822  0.7000000  0.3000000
  823  0.7000000  0.2876000
  824  0.7000000  0.2752000
  825  0.7125000  0.2753000
  826  0.7125000  0.2630000
  827  0.7000000  0.2630000
  828  0.7000000  0.2508000
  829  0.7125000  0.2508000
  830  0.6875000  0.2630000
  831  0.6875000  0.2508000
  832  0.6875000  0.2753000
  833  0.6750000  0.2753000
  834  0.6750000  0.2630000
  835  0.6750000  0.2508000
  836  0.6875000  0.2876000
  837  0.6875000  0.3000000
  838  0.6750000  0.3000000
  839  0.6750000  0.2876000
  840  0.6625000  0.2630000
  841  0.6625000  0.2753000
  842  0.6500000  0.2753000
  843  0.6500000  0.2630000
  844  0.6500000  0.2508000
  845  0.6625000  0.2508000
  846  0.6625000  0.2876000
  847  0.6500000  0.2876000
  848  0.6625000  0.3000000
  849  0.6500000  0.3000000
  850  0.6375000  0.2876000
  851  0.6375000  0.2753000
  852  0.6375000  0.3000000
  853  0.6250000  0.3000000
  854  0.6250000  0.2876000
  855  0.6250000  0.2753000
  856  0.6375000  0.2630000
  857  0.6250000  0.2630000
  858  0.6250000  0.2509000
  859  0.6375000  0.2509000
  860  0.6125000  0.2631000
  861  0.6125000  0.2753000
  862  0.6000000  0.2753000
  863  0.6000000  0.2630000
  864  0.6000000  0.2509000
  865  0.6125000  0.2509000
  866  0.6125000  0.2876000
  867  0.6000000  0.2876000
  868  0.6125000  0.3000000
  869  0.6000000  0.3000000
  870  0.5875000  0.2876000
  871  0.5875000  0.2753000
  872  0.5875000  0.3000000
  873  0.5750000  0.3000000
  874  0.5750000  0.2876000
  875  0.5750000  0.2753000
  876  0.5875000  0.2631000
  877  0.5750000  0.2630000
  878  0.5750000  0.2509000
  879  0.5875000  0.2509000
  880  0.5625000  0.2631000
  881  0.5625000  0.2753000
  882  0.5500000  0.2753000
  883  0.5500000  0.2630000
  884  0.5500000  0.2509000
  885  0.5625000  0.2509000
  886  0.5625000  0.2876000
