          x          y   sigma_xx   sigma_yy   sigma_xy
  2.0250000  0.2630000 -0.1116281  0.0001051  0.0223308
  2.0250000  0.2509000 -0.1000217  0.0001532  0.0282132
  2.0375000  0.2509000 -0.0943260  0.0001029  0.0282469
  2.0125000  0.2631000 -0.1180406  0.0001300  0.0222651
  2.0125000  0.2753000 -0.1304975  0.0000715  0.0156041
  2.0000000  0.2753000 -0.1376862  0.0000729  0.0155526
  2.0000000  0.2630000 -0.1244939  0.0001374  0.0222078
  2.0000000  0.2509000 -0.1114035  0.0002097  0.0280831
  2.0125000  0.2509000 -0.1057058  0.0001966  0.0281527
  2.0125000  0.2876000 -0.1430572  0.0000325  0.0081353
  2.0000000  0.2876000 -0.1510050  0.0000308  0.0081012
  2.0125000  0.3000000 -0.1516166 -0.0005544  0.0040720
  2.0000000  0.3000000 -0.1600866 -0.0005889  0.0040545
  1.9875000  0.2876000 -0.1589219  0.0000349  0.0080684
  1.9875000  0.2753000 -0.1448433  0.0000779  0.0154913
  1.9875000  0.3000000 -0.1685180 -0.0006224  0.0040351
  1.9750000  0.3000000 -0.1769112 -0.0006564  0.0040176
  1.9750000  0.2876000 -0.1668108  0.0000304  0.0080335
  1.9750000  0.2753000 -0.1519957  0.0000723  0.0154363
  1.9875000  0.2631000 -0.1308880  0.0001453  0.0221259
  1.9750000  0.2630000 -0.1373235  0.0001390  0.0220615
  1.9750000  0.2509000 -0.1227719  0.0002155  0.0279209
  1.9875000  0.2509000 -0.1170820  0.0002251  0.0280010
  1.9625000  0.2631000 -0.1436912  0.0001377  0.0219794
  1.9625000  0.2753000 -0.1591126  0.0000730  0.0153763
  1.9500000  0.2753000 -0.1662258  0.0000637  0.0153262
  1.9500000  0.2630000 -0.1501047  0.0001243  0.0219197
  1.9500000  0.2509000 -0.1341164  0.0001946  0.0277605
  1.9625000  0.2509000 -0.1284382  0.0002160  0.0278367
  1.9625000  0.2876000 -0.1746681  0.0000332  0.0080024
  1.9500000  0.2876000 -0.1824991  0.0000272  0.0079709
  1.9625000  0.3000000 -0.1852671 -0.0006894  0.0039995
  1.9500000  0.3000000 -0.1935884 -0.0007228  0.0039842
  1.9375000  0.2876000 -0.1903015  0.0000297  0.0079444
  1.9375000  0.2753000 -0.1733031  0.0000628  0.0152735
  1.9375000  0.3000000 -0.2018775 -0.0007551  0.0039688
  1.9250000  0.3000000 -0.2101379 -0.0007880  0.0039564
  1.9250000  0.2876000 -0.1980818  0.0000230  0.0079182
  1.9250000  0.2753000 -0.1803803  0.0000521  0.0152319
  1.9375000  0.2631000 -0.1564447  0.0001192  0.0218458
  1.9250000  0.2630000 -0.1628366  0.0001030  0.0217965
  1.9250000  0.2509000 -0.1454340  0.0001621  0.0276193
  1.9375000  0.2509000 -0.1397685  0.0001885  0.0276845
  1.9125000  0.2631000 -0.1691509  0.0000975  0.0217342
  1.9125000  0.2753000 -0.1874228  0.0000513  0.0151886
  1.9000000  0.2753000 -0.1944697  0.0000403  0.0151566
  1.9000000  0.2630000 -0.1755242  0.0000810  0.0216967
  1.9000000  0.2509000 -0.1567265  0.0001280  0.0275038
  1.9125000  0.2509000 -0.1510724  0.0001552  0.0275559
  1.9125000  0.2876000 -0.2058378  0.0000258  0.0078973
  1.9000000  0.2876000 -0.2135769  0.0000189  0.0078766
  1.9125000  0.3000000 -0.2183723 -0.0008196  0.0039440
  1.9000000  0.3000000 -0.2265843 -0.0008521  0.0039347
  1.8875000  0.2876000 -0.2212964  0.0000223  0.0078610
  1.8875000  0.2753000 -0.2014835  0.0000405  0.0151226
  1.8875000  0.3000000 -0.2347766 -0.0008832  0.0039252
  1.8750000  0.3000000 -0.2429523 -0.0009153  0.0039186
  1.8750000  0.2876000 -0.2290038  0.0000153  0.0078454
  1.8750000  0.2753000 -0.2085065  0.0000299  0.0150994
  1.8875000  0.2631000 -0.1818165  0.0000769  0.0216463
  1.8750000  0.2630000 -0.1881749  0.0000612  0.0216202
  1.8750000  0.2509000 -0.1679971  0.0000968  0.0274145
  1.8875000  0.2509000 -0.1623525  0.0001229  0.0274536
  1.8625000  0.2631000 -0.1944491  0.0000592  0.0215804
  1.8625000  0.2753000 -0.2154981  0.0000314  0.0150736
  1.8500000  0.2753000 -0.2225031  0.0000214  0.0150579
  1.8500000  0.2630000 -0.2007966  0.0000449  0.0215641
  1.8500000  0.2509000 -0.1792499  0.0000711  0.0273484
  1.8625000  0.2509000 -0.1736129  0.0000951  0.0273765
  1.8625000  0.2876000 -0.2366958  0.0000194  0.0078344
  1.8500000  0.2876000 -0.2443800  0.0000124  0.0078229
  1.8625000  0.3000000 -0.2511134 -0.0009460  0.0039115
  1.8500000  0.3000000 -0.2592629 -0.0009778  0.0039071
  1.8375000  0.2876000 -0.2520522  0.0000173  0.0078156
  1.8375000  0.2753000 -0.2294781  0.0000242  0.0150388
  1.8375000  0.3000000 -0.2674022 -0.0010082  0.0039020
  1.8250000  0.3000000 -0.2755337 -0.0010398  0.0038993
  1.8250000  0.2876000 -0.2597200  0.0000103  0.0078075
  1.8250000  0.2753000 -0.2364703  0.0000148  0.0150290
  1.8375000  0.2631000 -0.2070564  0.0000453  0.0215331
  1.8250000  0.2630000 -0.2133965  0.0000323  0.0215245
  1.8250000  0.2509000 -0.1904888  0.0000508  0.0273015
  1.8375000  0.2509000 -0.1848574  0.0000729  0.0273204
