Node	Load	DX (mm)	DY (mm)	DZ (mm)	RX ([rad])	RY ([rad])	RZ ([rad])
155	vitr_zprava	-0.945101	0.682138	0.001982	-0.000080	-0.000183	0.000004
156	vitr_zprava	-0.957767	0.687731	0.003780	-0.000082	-0.000184	0.000004
157	vitr_zprava	-0.968531	0.692527	0.003445	-0.000084	-0.000185	0.000004
158	vitr_zprava	-0.980984	0.698184	0.003453	-0.000085	-0.000186	0.000003
159	vitr_zprava	-0.993379	0.703908	0.003122	-0.000087	-0.000186	0.000003
160	vitr_zprava	-1.003791	0.708823	0.004152	-0.000089	-0.000187	0.000003
161	vitr_zprava	-1.015992	0.714659	0.003794	-0.000090	-0.000187	0.000003
162	vitr_zprava	-1.028121	0.720572	0.003885	-0.000092	-0.000187	0.000003
163	vitr_zprava	-1.038323	0.725640	0.004392	-0.000093	-0.000186	0.000003
164	vitr_zprava	-1.050312	0.731695	0.004367	-0.000095	-0.000186	0.000003
165	vitr_zprava	-1.062263	0.737815	0.002865	-0.000096	-0.000185	0.000003
166	vitr_zprava	-1.072316	0.743075	0.002679	-0.000097	-0.000184	0.000003
167	vitr_zprava	-1.084209	0.749420	0.002810	-0.000099	-0.000183	0.000003
168	vitr_zprava	-1.096117	0.755862	0.001380	-0.000100	-0.000182	0.000003
169	vitr_zprava	-1.108061	0.762451	0.000167	-0.000101	-0.000180	0.000003
170	vitr_zprava	-1.115946	0.766892	0.000037	-0.000101	-0.000179	0.000003
171	vitr_zprava	-1.130245	0.775103	-0.001382	-0.000105	-0.000182	0.000003
172	vitr_zprava	-1.142313	0.782114	-0.004279	-0.000108	-0.000185	0.000003
173	vitr_zprava	-1.152558	0.788158	-0.006715	-0.000111	-0.000187	0.000003
174	vitr_zprava	-1.164634	0.795407	-0.007533	-0.000114	-0.000189	0.000003
